cliente_id,edad,ingresos_mensuales,puntuacion_gasto
1,56,11842490,54
2,46,7313790,4
3,32,5921339,54
4,60,11089550,93
5,25,4475709,63
6,38,1284654,18
7,56,6347581,90
8,36,3154354,44
9,40,9442680,34
10,28,3628388,74
11,28,10116786,62
12,41,3863046,100
13,53,6699720,14
14,57,7840913,95
15,41,4616664,48
16,20,4585659,15
17,39,4585357,72
18,19,2665689,78
19,41,1268148,87
20,61,3025665,62
21,47,3945683,40
22,55,5256518,85
23,19,3869995,80
24,38,6197895,82
25,50,7597986,53
26,29,3070928,24
27,39,5355299,26
28,61,11362023,89
29,42,7449859,60
30,44,3505413,41
