cliente_id,edad,ingresos_mensuales,puntuacion_gasto,grupo
1,56,11842490,54,2
2,46,7313790,4,3
3,32,5921339,54,0
4,60,11089550,93,2
5,25,4475709,63,4
6,38,1284654,18,0
7,56,6347581,90,1
8,36,3154354,44,0
9,40,9442680,34,3
10,28,3628388,74,4
11,28,10116786,62,3
12,41,3863046,100,1
13,53,6699720,14,3
14,57,7840913,95,2
15,41,4616664,48,0
16,20,4585659,15,0
17,39,4585357,72,1
18,19,2665689,78,4
19,41,1268148,87,1
20,61,3025665,62,1
21,47,3945683,40,0
22,55,5256518,85,1
23,19,3869995,80,4
24,38,6197895,82,1
25,50,7597986,53,3
26,29,3070928,24,0
27,39,5355299,26,0
28,61,11362023,89,2
29,42,7449859,60,3
30,44,3505413,41,0
