transaccion_id,monto,hora,distancia_ubicacion_km,cantidad_transacciones_dia,es_comercio_nuevo,dispositivo_nuevo,fraude
1,1129874.96,14,515.68,1,1,1,1
2,2852635.78,11,919.39,4,0,1,1
3,2198661.89,15,496.96,13,1,0,1
4,1799988.87,23,992.16,13,0,1,1
5,476495.73,18,851.42,13,1,1,1
6,476423.62,7,208.51,2,1,0,0
7,183670.0,20,930.6,9,1,1,1
8,2599866.68,16,116.37,8,0,0,0
9,1807333.89,22,817.45,7,1,1,1
10,2127137.01,4,380.62,4,1,0,1
11,71547.64,21,877.97,18,1,0,1
12,2910030.46,15,868.06,3,1,1,1
13,2499003.5,5,805.93,6,0,0,0
14,644893.94,7,790.03,12,1,1,1
15,553656.65,17,304.68,12,0,1,1
16,558379.48,11,80.92,8,1,0,0
17,919684.31,14,402.98,1,0,1,0
18,1579021.73,8,173.52,4,0,0,0
19,1301515.61,12,694.95,11,1,0,0
20,880775.13,14,346.1,3,1,0,0
21,1839440.16,9,975.61,13,0,0,0
22,427086.64,15,640.97,17,1,0,1
23,883512.5,6,822.48,10,1,0,0
24,1105421.91,16,132.52,12,1,0,0
25,1373649.25,22,862.01,15,0,0,0
26,2357676.12,20,922.76,10,1,1,1
27,607024.61,21,487.06,14,1,1,0
28,1547560.97,6,606.25,13,1,0,0
29,1781319.56,13,764.81,5,0,1,0
30,148886.73,14,174.84,6,1,1,1
31,1826559.11,20,502.57,2,0,1,0
32,519867.13,6,398.66,17,1,1,1
33,204504.26,8,146.37,4,0,1,0
34,2847167.76,18,367.53,14,1,1,1
35,2897239.78,15,68.17,10,1,0,0
36,2427108.07,7,25.81,3,0,1,0
37,920795.17,17,135.17,3,0,1,0
38,302039.62,22,963.12,15,0,1,1
39,2055856.75,17,549.53,6,1,1,1
40,1326055.96,19,965.82,17,1,0,0
41,374894.32,6,432.5,12,1,0,1
42,1490578.96,2,311.82,11,1,0,0
43,112821.68,17,506.14,4,0,0,0
44,2728868.0,9,439.51,6,1,1,0
45,783752.14,6,105.66,1,1,0,0
46,1990941.63,16,640.83,16,1,0,1
47,942016.12,13,216.04,15,1,0,0
48,1565003.38,23,619.59,17,1,0,1
49,1644663.74,2,650.2,8,1,1,0
50,562714.82,11,152.02,12,1,0,0
51,2909058.04,12,61.35,10,0,1,0
52,2327647.14,1,780.76,15,1,0,1
53,2819101.84,2,459.8,9,1,1,0
54,2685533.78,4,58.16,2,1,1,0
55,1797720.94,10,994.87,5,1,0,0
56,2766403.96,7,57.78,6,0,0,0
57,274592.58,22,695.04,7,0,0,0
58,595988.76,22,983.68,1,0,0,0
59,145229.59,11,239.18,7,0,1,0
60,982737.69,6,142.25,12,0,1,0
61,1172145.1,14,121.38,16,0,0,0
62,821333.61,23,303.28,16,1,0,1
63,2487925.15,16,101.05,11,0,1,1
64,1076692.45,3,692.16,4,0,0,0
65,849994.18,21,62.29,13,1,1,1
66,1632661.29,12,509.42,7,0,0,0
67,431363.43,17,996.7,4,1,1,0
68,2408568.97,0,813.97,15,1,1,1
69,232906.42,15,615.22,19,0,1,1
70,2960791.94,12,306.25,9,1,1,1
71,2319011.86,9,623.9,11,0,1,1
72,604159.89,11,527.04,8,0,0,0
73,26511.13,1,426.08,1,1,1,0
74,2448229.67,22,130.71,8,1,0,0
75,2123503.46,2,886.6,13,0,1,0
76,2189731.43,9,449.78,4,1,1,0
77,2316098.34,1,194.62,8,1,0,0
78,231393.51,22,367.76,3,0,0,0
79,1081812.53,12,414.13,9,0,0,0
80,356448.49,12,827.54,2,1,0,0
81,2590679.24,17,733.61,2,0,1,1
82,1873661.4,2,769.3,13,0,0,1
83,999385.09,6,11.03,15,0,1,0
84,200039.47,13,416.15,12,0,0,0
85,939837.14,19,481.34,4,0,0,0
86,982298.13,16,19.19,8,0,1,0
87,2191522.47,20,259.81,9,0,1,0
88,1916296.84,11,760.29,5,1,0,0
89,2662766.1,15,137.11,18,0,1,1
90,1421922.63,23,535.31,11,1,1,0
91,367586.8,11,215.2,15,1,1,0
92,2142601.91,14,12.12,9,1,1,0
93,2284747.3,9,241.2,17,0,1,1
94,1688218.82,6,975.87,12,0,1,0
95,2315191.87,19,801.54,7,1,1,0
96,1486448.83,4,959.58,10,0,1,0
97,1572971.16,0,487.85,10,1,0,1
98,1288347.64,16,109.74,13,0,1,0
99,86003.19,2,547.96,19,0,0,1
100,332595.37,12,454.38,11,1,1,1
101,103973.27,13,844.36,13,1,1,1
102,1912867.13,23,98.08,8,1,1,1
103,949924.38,17,488.24,8,0,1,0
104,1530626.37,3,150.05,4,1,0,0
105,2723623.76,17,324.68,15,0,0,1
106,755383.77,4,737.36,11,0,1,0
107,1237044.94,15,476.02,11,0,0,0
108,2269097.9,0,375.89,1,1,1,0
109,694106.51,20,394.48,17,1,1,0
110,240169.93,13,459.45,15,1,0,0
111,876356.84,14,785.02,6,0,0,0
112,492051.65,8,892.08,15,0,1,1
113,2789795.98,14,955.33,9,1,1,0
114,2426279.93,16,786.9,14,0,0,1
115,1903877.23,23,315.41,18,0,1,0
116,2615667.16,3,688.13,17,1,0,0
117,2412979.51,11,437.6,18,1,1,0
118,567844.48,4,254.67,5,1,1,1
119,2678751.41,4,840.87,9,0,0,0
120,1622633.3,10,38.43,11,0,0,0
121,2424246.06,5,901.76,1,0,0,0
122,2689312.99,6,461.48,18,0,1,0
123,960830.39,23,637.2,6,0,1,0
124,339055.25,13,659.35,2,1,1,0
125,691526.14,23,895.12,15,0,1,1
126,1287052.29,10,636.67,14,0,0,0
127,2455864.15,12,613.93,5,0,1,0
128,2583584.44,1,66.65,6,1,1,1
129,30786.87,6,518.41,6,1,1,1
130,1537134.43,19,150.17,18,1,0,0
131,1258058.9,3,737.43,14,0,1,1
132,674102.35,7,512.22,10,1,1,1
133,368397.45,19,680.23,14,1,0,1
134,1019469.36,21,41.67,13,1,1,0
135,2829300.01,20,84.79,3,0,1,0
136,976376.77,18,716.32,6,1,0,0
137,1561183.96,12,72.08,8,0,1,0
138,2112026.69,13,71.26,12,0,1,0
139,1097252.51,9,12.11,13,1,1,0
140,2915628.43,10,956.5,11,0,0,0
141,2887717.41,1,737.51,12,1,1,1
142,762829.06,8,353.25,1,0,1,0
143,1496773.03,16,296.54,17,1,0,0
144,909626.15,2,349.7,16,1,0,1
145,861673.08,23,774.65,11,1,1,1
146,120291.97,5,661.37,13,0,1,0
147,1832597.36,4,185.2,18,1,1,1
148,1513010.28,4,174.11,11,0,1,0
149,163921.47,21,98.4,12,1,0,0
150,843152.93,14,660.3,6,0,1,0
151,2725715.0,22,764.37,9,0,0,0
152,726290.05,16,265.05,16,1,0,0
153,443235.67,8,20.94,4,1,1,0
154,1473463.75,2,82.17,3,1,1,1
155,2957094.86,19,967.86,16,1,0,0
156,733745.26,16,295.44,12,1,0,0
157,2019685.29,9,769.22,11,0,1,1
158,2287242.65,2,624.66,5,1,0,1
159,720536.26,17,381.94,18,1,1,1
160,2187366.88,17,205.69,19,0,1,0
161,1109671.57,16,121.39,6,1,0,0
162,1900594.43,23,615.01,18,1,0,1
163,1904253.84,2,774.63,6,0,1,1
164,1611966.31,2,643.9,4,1,0,1
165,279966.41,5,530.3,12,1,1,1
166,2507554.46,12,41.95,19,1,1,0
167,969132.39,23,968.49,2,0,1,0
168,567690.35,14,798.71,17,1,0,1
169,131917.67,8,292.82,11,0,1,0
170,1776769.9,3,979.97,11,1,1,0
171,2035917.44,13,601.88,16,0,1,1
172,59597.61,4,582.42,2,1,1,1
173,1541158.24,1,748.07,2,0,1,0
174,687222.37,10,811.77,8,0,1,0
175,1939066.64,8,656.48,13,0,1,1
176,531355.62,23,128.1,10,0,1,0
177,2075903.84,2,338.27,8,0,1,0
178,1166338.69,8,928.08,4,0,1,0
179,2810822.67,2,224.62,15,1,1,0
180,421187.62,1,372.17,1,1,0,1
181,1029788.39,11,432.08,11,0,1,1
182,349285.83,9,439.4,7,0,1,0
183,2774833.92,8,612.94,17,0,1,1
184,2633244.67,14,943.08,18,0,0,0
185,781245.47,7,240.69,12,1,1,1
186,1983352.3,4,121.5,9,0,0,0
187,2453494.38,10,197.47,5,1,1,1
188,1670050.43,1,886.92,10,1,1,0
189,1593655.23,23,645.81,4,0,0,0
190,733138.35,14,285.91,5,0,1,0
191,288377.28,5,815.95,10,1,0,0
192,2692675.12,7,861.37,11,1,0,1
193,2702249.99,4,846.51,10,0,1,1
194,1902973.36,15,918.93,8,0,1,1
195,1023699.08,17,252.24,2,0,1,0
196,1054136.63,5,755.04,8,1,1,1
197,2180607.48,4,460.54,16,1,0,0
198,2692359.68,15,842.0,5,0,0,0
199,2662388.41,12,728.49,3,1,1,0
200,2341827.88,4,776.45,12,1,0,1
201,1929674.62,12,656.16,13,0,0,1
202,261578.5,16,177.43,13,0,1,0
203,493269.86,17,545.03,10,1,0,0
204,2696677.02,7,984.67,4,1,0,0
205,1823222.89,12,937.39,9,0,1,1
206,37499.18,18,43.17,2,0,0,0
207,313399.91,2,164.81,19,0,1,1
208,1993870.29,23,131.73,1,0,0,0
209,25134.14,7,725.98,7,0,1,0
210,490816.07,1,817.79,17,1,0,1
211,1650714.03,7,213.51,3,1,0,0
212,2078766.64,12,505.85,3,1,1,1
213,1959364.17,12,840.7,3,1,1,1
214,680565.24,0,732.8,17,0,1,0
215,2139415.87,5,542.24,7,0,1,1
216,719374.77,23,590.35,14,0,0,0
217,982945.1,18,508.36,17,1,0,1
218,2242009.3,15,297.55,18,1,0,1
219,1952402.37,7,565.02,13,1,1,1
220,2549178.0,0,688.89,18,0,0,0
221,1976262.55,15,873.32,4,1,0,1
222,1709242.72,8,636.29,1,0,1,1
223,290087.56,12,761.12,18,0,1,0
224,1109470.25,10,160.07,1,0,0,0
225,802955.08,12,461.56,13,0,1,0
226,739529.03,20,9.33,10,0,0,0
227,2919301.56,9,246.68,11,0,0,0
228,1185362.2,3,726.46,9,1,1,0
229,2677219.2,5,991.81,9,0,0,0
230,1897104.49,6,99.18,5,0,1,1
231,2386485.8,4,401.49,1,1,1,1
232,1512884.91,10,800.07,17,0,0,0
233,1734942.62,12,204.04,2,1,0,0
234,1482627.9,18,555.08,13,1,0,1
235,593776.53,22,733.07,9,1,1,1
236,2170131.82,9,615.99,4,0,0,1
237,849509.36,9,188.02,5,0,1,0
238,82704.74,10,355.38,11,1,1,1
239,1939962.16,20,783.79,19,0,0,0
240,539560.93,6,554.23,3,0,1,0
241,2821971.17,17,5.23,12,1,0,1
242,2862246.45,3,760.99,19,1,0,1
243,2745444.53,1,35.31,19,0,0,1
244,1116774.51,13,745.73,13,1,0,0
245,56215.28,12,202.48,7,1,0,0
246,2785672.5,11,958.07,15,1,0,0
247,1290270.6,6,367.94,7,0,0,0
248,2900297.91,1,326.93,8,0,1,1
249,2891223.73,12,148.89,5,0,0,0
250,2560498.27,13,305.6,14,1,1,1
251,890402.19,16,876.65,4,0,1,0
252,1161442.21,8,996.33,10,1,1,1
253,2554898.65,16,368.31,15,0,0,1
254,957596.8,7,448.61,18,0,1,1
255,516783.31,1,722.07,13,1,1,1
256,1674835.77,23,886.2,8,0,0,0
257,2809102.77,12,593.04,9,1,0,0
258,2091129.09,2,391.53,16,0,1,0
259,1714482.9,15,412.62,19,0,0,1
260,300557.72,5,695.62,16,1,0,1
261,1848871.61,18,3.22,7,1,0,0
262,2970261.01,6,619.59,14,1,0,0
263,428851.21,9,355.49,14,0,1,1
264,1559805.66,8,794.2,4,0,0,0
265,2633345.49,1,92.99,15,0,0,1
266,2224898.17,14,588.2,3,1,0,1
267,2094077.07,4,480.97,5,1,1,1
268,2110427.41,21,642.33,1,1,1,0
269,1084878.54,3,64.85,3,0,0,0
270,887839.61,19,579.98,15,0,0,0
271,2429989.85,3,561.48,8,1,1,1
272,2432239.05,17,560.66,4,0,0,0
273,2602546.23,3,603.49,2,1,0,0
274,2740589.25,16,676.47,10,0,1,1
275,1538913.77,11,804.99,4,0,0,0
276,1509533.72,21,269.82,3,1,0,0
277,2396902.59,16,825.05,2,0,1,1
278,1953392.15,9,498.26,17,0,1,0
279,2108880.96,21,77.06,13,1,0,1
280,2389420.08,0,58.55,5,1,1,0
281,2671115.97,21,334.24,9,0,0,0
282,1020605.52,23,784.9,6,1,0,0
283,1132993.03,17,707.68,5,0,0,0
284,291006.0,17,788.61,10,1,1,1
285,1739057.62,13,517.27,8,0,1,0
286,117467.4,14,440.2,7,0,0,0
287,1402138.07,11,147.45,7,1,0,0
288,1632507.46,3,328.19,6,0,1,0
289,866758.34,2,434.02,3,0,1,0
290,1776591.45,19,88.6,19,1,1,1
291,101195.75,11,220.61,15,1,0,0
292,121671.08,6,598.23,4,0,1,0
293,2469575.68,10,735.66,12,1,1,1
294,1086970.02,0,998.35,6,1,0,1
295,389910.93,5,933.11,19,0,0,0
296,1571507.35,14,642.57,4,0,0,0
297,2312280.72,14,421.25,15,1,1,0
298,655304.87,18,636.18,9,1,0,0
299,1872442.52,10,785.65,5,1,0,1
300,265188.92,22,118.34,13,0,0,0
301,164528.35,1,409.9,18,0,0,0
302,1598750.35,13,839.8,5,0,1,0
303,1626499.01,1,383.83,16,0,0,1
304,1915915.41,3,571.87,19,0,1,1
305,2181013.09,16,587.77,14,0,1,1
306,2927797.72,2,184.48,16,0,1,1
307,1553738.04,12,362.24,15,1,0,1
308,975639.85,8,334.51,4,1,1,1
309,2387606.72,6,26.2,7,0,0,0
310,819788.43,14,24.19,16,0,0,0
311,1322524.55,22,831.7,8,0,0,0
312,244584.58,10,273.07,17,1,1,0
313,85798.72,19,518.08,16,0,0,0
314,2888318.76,1,298.73,10,1,0,1
315,2509580.56,14,940.68,10,1,0,1
316,2090962.88,13,259.3,2,1,1,1
317,1232769.3,19,429.66,9,1,1,0
318,528150.02,21,872.73,17,1,1,1
319,477746.76,10,841.93,11,0,0,0
320,758226.27,2,186.1,10,0,1,0
321,1652187.73,16,802.64,17,1,0,0
322,2146641.81,11,458.19,4,0,0,0
323,1983990.16,23,482.97,16,1,1,0
324,847002.35,20,133.48,15,1,0,0
325,2865047.19,14,80.6,5,0,1,0
326,2216311.78,15,727.94,6,0,0,0
327,1667518.62,4,496.46,17,0,1,1
328,1839045.03,19,436.85,1,0,0,0
329,1264604.19,5,729.51,19,0,0,0
330,750715.66,18,765.51,4,1,0,0
331,1074358.31,4,158.91,17,0,0,0
332,2275959.87,2,610.23,9,0,0,0
333,53036.53,0,135.35,2,0,1,0
334,357057.2,5,751.38,8,1,0,0
335,147547.9,14,656.96,15,0,1,1
336,131779.12,1,956.61,7,1,1,1
337,2567827.15,2,68.96,6,0,1,1
338,2113937.0,16,57.05,1,0,0,0
339,1427779.75,23,282.19,15,1,0,0
340,302524.14,11,261.71,7,0,0,0
341,1479931.47,17,246.98,17,0,1,0
342,1425680.59,14,906.25,2,1,0,0
343,527873.59,11,249.55,9,0,0,0
344,1307216.43,15,271.95,9,1,1,0
345,1201529.16,7,759.4,13,1,1,1
346,1851391.79,13,449.74,6,1,1,1
347,1908930.02,16,776.71,6,1,1,1
348,145458.99,20,65.37,3,1,1,0
349,1130091.72,7,487.57,17,0,1,1
350,1881321.15,14,33.61,17,0,0,0
351,1514377.41,13,62.65,12,0,1,1
352,2570904.63,17,906.44,16,1,0,1
353,1979493.96,19,139.25,15,1,0,0
354,497173.94,6,532.42,13,1,0,1
355,221000.55,2,411.1,1,1,1,1
356,1930833.64,11,347.34,17,0,0,0
357,89268.82,20,899.83,3,0,1,0
358,1761468.99,23,21.82,15,1,1,0
359,2821288.42,2,663.79,4,1,0,1
360,1730667.79,19,963.39,4,0,1,0
361,1170628.08,13,560.17,18,1,0,1
362,1933431.77,14,936.82,17,1,0,1
363,1380176.14,13,52.26,19,1,1,1
364,1641394.2,6,418.79,11,0,0,1
365,2824979.78,16,260.16,3,0,0,0
366,1164446.89,11,730.82,8,1,0,0
367,2883959.79,19,981.3,14,0,1,1
368,2716998.42,3,256.53,1,1,0,1
369,595415.49,8,654.17,14,1,1,1
370,217390.29,5,198.1,2,0,1,0
371,311326.22,15,565.33,4,1,0,0
372,64483.26,21,463.93,19,1,0,1
373,292384.45,21,972.01,6,0,1,0
374,2052190.25,20,608.53,1,1,1,1
375,222854.06,20,349.51,17,1,0,0
376,963737.13,1,114.1,8,1,0,0
377,2536177.18,23,151.25,19,0,1,0
378,79583.09,7,225.32,1,1,1,0
379,2445260.76,10,250.97,5,0,1,0
380,852745.78,12,850.62,16,1,1,1
381,363312.83,16,561.22,6,1,1,0
382,2093244.12,7,523.39,8,1,0,1
383,1890539.11,20,114.77,13,1,1,1
384,2633641.32,17,860.14,16,0,1,1
385,2207862.42,17,722.81,3,0,0,0
386,2412407.98,13,67.67,19,1,0,0
387,853283.37,14,707.84,12,1,1,1
388,540544.24,5,543.54,16,1,1,1
389,2254338.11,10,81.73,11,1,0,0
390,2422435.87,12,458.3,10,1,1,1
391,2971610.37,0,484.7,4,1,1,0
392,1243726.85,5,165.77,12,1,0,0
393,1122334.08,8,945.7,2,1,1,1
394,2331474.75,7,849.98,19,0,0,0
395,1029002.59,10,669.02,5,0,0,0
396,2792964.4,21,462.3,8,0,0,0
397,2576654.13,18,411.77,7,1,0,1
398,1292692.14,23,650.97,14,1,1,1
399,2255104.49,8,545.43,3,1,0,0
400,2266083.19,16,62.27,18,0,1,0
401,318340.37,11,512.5,16,1,1,1
402,2708633.19,13,806.4,19,0,1,1
403,1520704.59,14,459.24,19,1,1,0
404,2481107.82,15,51.96,18,0,1,1
405,966948.31,21,786.28,16,0,0,0
406,2687614.45,21,201.36,8,0,0,0
